date,anger_percent_weighted,sadness_percent_weighted,joy_percent_weighted
"October  9, 2016",0.174432850362,0.151734587863,0.0580220425432
"October 16, 2016",0.261036504205,0.271300038186,0.163107229128
"October 23, 2016",0.144746364844,0.235565785447,0.140919684775
"October 30, 2016",0.318588220109,0.185733843355,0.033868833813
"September  4, 2016",0.0612997292894,0.198552072902,0.329300254021
"September 11, 2016",0.171800917414,0.198723334146,0.12960378854
"September 18, 2016",0.199472932543,0.202657407072,0.243269667309
"September 25, 2016",0.10725684468,0.253790258948,0.230007648329
"August  4, 2016",0.302950035547,0.198910365122,0.145433902331
"August 11, 2016",0.196485926749,0.0714872360142,0.26061591363
"August 18, 2016",0.218479407929,0.116161488347,0.101977615219
"August 25, 2016",0.263007286421,0.316448598522,0.139636464931
"July  7, 2016",0.318664648821,0.210089562616,0.0857140332366
